Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Farinha de rosca,1 colher de sopa cheia,15,11,61,90
Farinha de rosca,1 xícara,80,59,325,90
Farinha de tapioca,1 colher de sopa,16,14,57,90
Farinha de tapioca com coco e açúcar,1 colher de sopa cheia,25,21,107,90
Farinha de trigo,1 colher de sopa cheia,20,15,71,90
Farinha de trigo,1 colher de sopa rasa,13,10,46,91
Farinha de trigo,1 xícara,165,124,586,91
Farinha de trigo,1 colher de sobremesa,5,4,18,91
Farinha láctea,1 colher de sopa rasa,8,6,30,91
Farofa com linguiça,1 colher de sopa cheia,15,7,54,91
Farofa com linguiça,1 colher de arroz cheia,45,21,162,91
Farofa com linguiça,1 colher de sobremesa cheia,10,5,36,91
Farofa com tempero/óleo,1 colher de sopa cheia,15,12,71,91
Farofa de farinha de mandioca,1 colher de sopa cheia,25,20,96,91
Farofa de farinha de mandioca,1 colher de arroz cheia,75,60,288,91
Farofa simples,1 colher de arroz cheia,45,36,213,91
Farofa simples,1 colher de sobremesa,8,6,32,91
Farofa simples,1 colher de sobremesa cheia,10,8,48,91
Farofa simples,1 colher de sopa cheia,15,12,71,91
Fatouche,1 porção,100,5,162,91
"Fava, grãos, cozidos",1 xícara,90,23,113,91
"Fava, grãos, cozidos",1 colher de servir cheia,35,8,38,91
"Fava, grãos, cozidos",1 colher de spa cheia,31,7,34,91
"Fava, grãos, cozidos",1 concha média cheia,140,30,154,91
"Fava, grãos, cozidos",1 concha rasa,80,17,88,91
Feijão azuki cozido,1 colher de sopa,17,5,22,91
Feijão azuki cozido,1 colher de arroz,35,9,45,92
Feijão azuki cozido,1 xícara de chá,184,46,236,92
Feijão azuki cozido,1 colher de sopa,17,4,22,92
Feijão branco cozido,1 concha média rasa,80,21,112,92
Feijão branco cozido,1 colher de sopa,17,4,20,92
Feijão carioquinha cozido,1 colher de sopa cheia,17,3,19,92
Feijão carioquinha cozido,1 concha média rasa,80,14,89,92
Feijão preto cozido,1 colher de sopa cheia,17,2,13,92
Feijão preto cozido,1 concha média rasa,80,10,61,92
Feijão preto cozido,1 concha média cheia,140,18,107,92
Feijão tropeiro,1 concha média rasa,70,33,206,92
Feijão tropeiro,1 colher de sopa cheia,15,7,50,92
Feijão verde cozido,1 xícara,110,8,34,92
Feijão-fradinho cozido,1 colher de sopa cheia,17,2,13,92
Feijoada caseira,1 concha média cheia,225,24,346,92
Feijoada caseira,1 colher de sopa cheia,35,4,54,92
Fermento biológico,1 tablete,15,1,155,92
Fermento em pó,1 colher de sopa rasa,10,4,17,92
Fettuccine,1 pegador médio,110,24,150,92
Fettuccine,1 xícara,140,43,100,92
Fettuccine a bolonhesa,1 porção média,350,49,458,92
Fettuccine cozido,1 xícara,140,43,220,92
Fígado de boi grelhado,1 bife médio,110,5,239,92
Fígado de galinha cru,1 unidade média,70,4,95,93
Figo,1 unidade média,55,8,38,93
Figo cristalizado,1 unidade média,30,22,86,93
Figo enlatado em calda,1 unidade média,20,10,38,93
Figo seco,1 unidade média,30,20,75,93
Filé mignon a parmeggiana/ empanado,1 unidade média,100,10,341,93
Filé mignon a parmeggiana/ empanado,1 unidade grande,125,13,427,93
File mignon ao molho madeira,1 unidade pequena,180,12,227,93
Filhós (doce típico da região da Galiza),1 unidade média,65,26,159,93
Financier de amêndoas,1 unidade média,10,7,54,93
Fios de ovos,1 xícara,120,37,1458,93
"Flan dietético, em pó, preparado Lowçucar®",1 porção preparada confome descrito pelo fabricante,125,4,125,93
Flan tradicional (com açúcar),1 colher de sopa cheia,25,5,33,93
"Flan tradicional (com açúcar) (média das marcas Paulista®, Batavo®, Frimesa®, Nestlé®)",1 potinho,100,115,23,93
Flocos de milho sem açúcar,1 colher de sopa,10,9,38,93
Flocos de milho sem açúcar,1 xícara,28,26,107,93
Focaccia,1 fatia média,57,27,182,93
Fofura® (salgadinho de milho sabores),1 pacote pequeno,40,24,770,93
Fofura® (salgadinho de milho sabores),1 pacote grande,90,54,1731,93
Fogazza de calabresa (Habib’s®),1 unidade,70,22,186,93
Fogazza de mussarela (Habib’s®),1 unidade,70,21,200,93
Folhado de frango,1 unidade média,40,9,109,93
"Fondue de carne (somente a carne, sem os acompanhamentos)",1 bife médio,90,0,180,94
"Fondue de chocolate (somente o ganache de chocolate, sem os acompanhamentos)",1 colher sopa,30,15,105,94
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 colher de sopa do molho,30,1,70,94
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 xícara,214,8,492,94
Framboesa,4 unidades médias,12,1,16,94
Framboesa,1 xícara,123,15,64,94
"Framboesa, doce em pasta",1 colher de sopa cheia,50,35,143,94
"Framboesa, geléia de",1 colher de sopa cheia,34,24,97,94
"Framboesa, geléia de",1 colher de sopa rasa,22,16,62,94
"Framboesa, geléia de",1 colher de sobremesa cheia,26,19,73,94
"Framboesa, geléia de",1 colher de sobremesa rasa,11,8,31,94
Francesinha (sanduíche de origem portuguesa),1 sanduiche,795,67,1130,94
Frango à milanesa,1 filé pequeno,100,7,221,94
Frango à milanesa,1 filé grande,190,13,419,94
Frango à milanesa,1 filé médio,140,9,310,94
Frango à passarinho,1 unidade média,65,0,129,94
Frango à paulista,1 filé pequeno,90,1,207,94
Frango à paulista,1 filé médio,130,2,336,94
Frango à paulista,1 filé grande,190,2,491,94
Frango agridoce,1 coxa de frango com molho,90,9,69,94
Frango agridoce,1/2 peito de frango com molho,131,15,117,95
Frango assado,1 sobrecoxa média,65,0,78,95
Frango assado,1 sobrecoxa grande,84,0,206,95
Frango assado,1/2 peito médio,85,0,237,95
Frango assado,1 coxa média,49,0,81,95
Frango assado,1 coxa grande,65,0,1,95
Frango assado,1 asa média,32,0,92,95
Frango com requeijão (Backed Potato®),1 concha,85,0,139,95
Frango cozido,1 sobrecoxa média,65,0,82,95
Frango cozido,1 colher de sopa,20,0,33,95
Frango filé cozido,1 filé pequeno,100,0,163,95
Frango frito,1 coxa média,49,0,119,95
Frango frito,1 coxa grande,65,0,94,95
Frango frito,1/2 peito pequeno,75,0,138,95
Frango frito,1/2 peito médio,86,0,158,95
Frango frito,1/2 peito grande,96,0,180,95
Frango Teriyaki,1 porção média,183,11,273,95
Frango Teriyaki,1 xícara,244,15,364,95
Frango xadrez,1 xícara,162,12,434,95
Franlitos (Bob’s®),1 porção com 6 unidades,120,28,272,95
Franlitos (Bob’s®),1 unidade,20,5,16,95
Frigideira de repolho com camarão seco,1 colher de sopa,25,1,25,95
Frittata de Abobrinha,1 porção média,135,20,195,95
Frittata de batata,1 porção média,135,31,244,95
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 pacote individual,20,17,75,95
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 xícara,30,25,111,95
Fruta - pão,1 porção,100,24,96,95
"Fruta do conde, ata ou pinha",1 unidade média,60,13,53,96
Frutas cristalizadas industrializadas,1 colher de sopa cheia,15,12,48,96
Frutas cristalizadas industrializadas,1 xícara,150,120,600,96
Frutilly® (picolé sabor flock),1 unidade,54,17,154,96
Frutilly® (picolé sabor morango),1 unidade,40,9,49,96
Fruttare® (picolé sabor abacaxi),1 unidade,59,16,49,96
Fruttare® (picolé sabor coco),1 unidade,60,14,84,96
Fruttare® (picolé sabor lichia),1 unidade,61,12,48,96
Fruttare® (picolé sabor limão),1 unidade,58,13,52,96
Fruttare® (picolé sabor manga),1 unidade,61,20,80,96
Fruttare® (picolé sabor maracujá),1 unidade,58,15,60,96
Fruttare® (picolé sabor uva),1 unidade,59,20,80,96
Fruttare® Yogo (picolé),1 unidade,71,20,128,96
Fubá,1 colher de sopa cheia,20,16,71,96
Fubá,1 colher sopa rasa,13,10,46,96
Fubá,1 xícara,50,40,179,96
Fubá,1 colher de sobremesa,7,6,25,96
Funghi (cogumelos),1 colher de sopa cheia,20,10,71,96
Furrundu (doce à base de mamão e rapadura),1 colher de sopa,20,13,52,96
Fusilli Integrale (Spoleto®),1 porção padrão,200,75,328,96
Fusilli Integrale (Spoleto®),1/2 porção de massa (porção Bambini),100,38,164,96
Galeto assado,1 pedaço pequeno,95,0,115,96
Galinha ao molho pardo,1 pedaço médio,95,0,150,97
Galinhada com pequi,1 colher de servir,60,13,108,97
Galinhada com pequi,1 porção,350,16,540,97
Gaspacho,1 copo cheio,200,4,38,97
Gatorade - média sabores ®,1 garrafa,500,12,48,97
"Geladinho (sacolé, dindim), c/ leite integral, leite condensado, leite de coco e coco ralado",1 unidade,100,29,230,97
"Geladinho (sacolé, dindim), c/ polpa congelada, água, amido de milho, c/ açúcar",1 unidade,100,8,30,97
"Geladinho (sacolé, dindim), c/ suco em pó, água, amido de milho, c/ açúcar,",1 unidade,100,9,37,97
Gelatina comum pronta (média),1 potinho,100,13,62,97
Gelatina diet pronta (média),1 potinho,100,1,9,97
Gelatina em pó com açúcar,1 colher de sopa,25,12,54,97
Gelatina em pó sem açúcar,1 colher de sopa,12,3,36,97
Gelatina em pó sem sabor,1 colher sopa,14,0,48,97
Geléia de frutas (média diferentes sabores),1 colher de sopa cheia,34,22,90,97
Geléia de mocotó,1 colher de sopa,25,9,37,97
Geléia de mocotó zero açúcar,1 colher de sopa rasa,10,0,4,97
Geléia de morango diet,1 colher de sopa rasa,22,6,25,97
Geléia de morango diet Linea ®,1 colher de sopa rasa,25,9,18,97
Geléia Frutas vermelhas diet QueensBerry ®,1 colher de sopa rasa,20,6,26,97
Geléia Hainich sem açúcar ®,1 colher de sopa,20,9,37,97
Gema de ovo cozida,1 unidade,20,0,72,97
Gemada,1 colher sopa,15,5,32,97
Gengibre em pó,1 colher de sopa cheia,15,11,51,98
"Gengibre, raiz, in natura",1 colher sopa rasa,15,3,12,98
Gergelim (semente),1 colher sopa rasa,15,3,12,98
Gergelim Vitao®,1 colher sopa,15,2,87,98
Germen de trigo Jasmine ®,1 colher sopa,10,5,37,98
Gim / Gin,1 dose,50,0,115,98
Gin Tônica,1 dose,100,4,109,98
Gin tônica,1 dose,225,16,171,98
Gin tônica zero,1 dose,225,0,110,98
Glicofast ®,1 pastilha,3,3,12,98
Glicose de milho,1 colher sopa,20,16,64,98
Glinstan ®,1 sachê,15,15,55,98
Glucerna SR ® em pó,1 colher sopa,9,5,38,98
Glucerna SR ® líquida,1 garrafinha,200,22,186,98
Goiaba inteira,1 unidade média,100,14,50,98
"Goiaba, doce em pasta",1 colher sopa rasa,22,17,64,98
"Goiaba, doce em pasta",1 colher sopa cheia,34,25,99,98
Goiabada,1 fatia média,40,25,100,98
Goiabada diet,1 colher sopa cheia,25,11,41,98
Goiabada diet de colher,1 fatia média,40,18,66,98
Goiabada Predilecta ®,1 fatia pequena,40,35,140,98
Goma de mascar (diet) média sabores,1 unidade,5,5,18,98
Goma de mascar com açúcar (média sabores),1 unidade,5,5,19,98
Goma de tapioca Yoki ®,1 colher de sopa cheia,17,10,37,98
Gordura vegetal hidrogenada,1 colher de sopa cheia,19,0,71,98
"Gorgonzola, queijo",1 fatia pequena,30,1,97,98
"Gouda, queijo",1 fatia média,100,2,356,98
Goulash com sal,1 xícara de chá,30,1,106,98
Gran picanha Bob’s ®,1 unidade,203,36,502,98
Granola 7 Grãos Sem Açúcar Da Magrinha®,1/2 xícara,40,22,138,99
Granola 7 Grãos tradicional Da Magrinha®,1/2 xícara,40,24,139,99
Granola sem açúcar,1 colher sopa,11,8,42,99
Granola zero açúcar Tia Sônia®,1/4 xícara,40,19,123,99
Granola zero açúcar tradicional Jasmine®,1/2 xícara,40,21,156,99
Granola zero açúcar tradicional Mãe Terra®,1/2 xícara,40,20,163,99
Granola zero Kobber®,1/2 xícara,40,22,128,99
"Granola, cereais, frutas secas e oleagionosas",1/2 xícara chá,40,21,174,99
"Granola, cereais, frutas secas e oleagionosas",1 colher sopa,10,6,49,99
"Grão de bico cozido, sem caldo",1 concha cheia,120,25,138,99
"Grão de bico cozido, sem caldo",1 colher sopa cheia,22,5,25,99
Graviola,1 pedaço pequeno,100,15,60,99
Graviola,1 pedaço médio,80,13,51,99
"Graviola, doce de",1 colher sopa cheia,25,13,52,99
"Graviola, polpa congelada",1 saquinho,100,10,38,99
Guacomole com sal,1 colher sopa cheia,45,3,74,99
"Guandú, feijão",1 colher de sopa cheia,22,14,70,99
Guaraná Antartica ®,1 lata,350,20,80,99
Guaraná diet Antartica ®,1 lata,350,0,0,99
Guaraná Fruki®,1 lata,350,17,66,99
Guaraná Goianinho®,1 lata,350,36,145,99
Guaraná Jesus®,1 lata,350,39,155,99
Guaraná Kuat ®,1 lata,350,21,82,99
Guaraná Mineiro ®,1 lata,350,38,154,99
Guaraná refrigerante Kuat ®,1 copo,200,13,52,99
"Guaraná, pó",1 colher café rasa,1,1,3,100
Guariroba,1 colher de sopa cheia,15,1,5,100
Guariroba refogada,2 colheres de sopa cheias,60,6,22,100
Hamburguer - sanduíche Mc Donalds ®,1 unidade,101,30,249,100
Hamburguer (sanduíche simples caseiro),1 unidade,110,32,360,100
Hamburguer de carne bovina Sadia ®,1 unidade,53,2,150,100
Hamburguer de frango Sadia ®,1 unidade,53,1,105,100
Hamburguer de grão de bico,1 unidade,82,20,127,100
Hamburguer de peru Sadia ®,1 unidade,53,2,93,100
Hamburguer misto Perdigão ®,1 unidade,53,1,81,100
"Harumaki (rolinho primavera), camarão ou peixe, frito",1 unidade,60,10,181,100
"Harumaki (rolinho primavera), camarão, frito",1 unidade,60,10,180,100
Harumaki de carne,1 unidade,50,8,103,100
Harumaki de carne Jin Jin Wok ®,1 unidade,20,11,47,100
"Harumaki de peixe, frito",1 unidade,60,10,190,100
Harumaki filadélfia,1 unidade,50,8,158,100
Harumaki filadélfia Jin Jin Wok ®,1 unidade,20,8,56,100
Herbalife Shake de baunilha ®,1 colher sopa,10,4,36,100
Hipoglosso (peixe) cozido,1 filé médio,100,0,125,100
Homus,1 colher de sopa cheia,30,14,94,100
Homus (Habib’s),1 porção,240,34,360,100
Homus com pão sírio Habib’s ®,1 porção,334,83,642,100
Homus de grão de bico Homus,1 colher de sopa cheia,45,9,123,101
"Hortelã, folhas de",1 colher sopa cheia,10,0,4,101
Hossomaki de atum,1 unidade pequena,15,5,38,101
Hossomaki de atum,1 unidade,110,26,164,101
Hossomaki de pepino,1 unidade pequena,15,5,24,101
Hossomaki de pepino,1 unidade,110,26,123,101
Hossomaki de salmão,1 unidade pequena,15,9,49,101
Hossomaki de salmão,1 unidade,110,26,155,101
Hot dog (sanduíche simples),1 unidade,125,31,330,101
Hot Filadélfia (hot rol),1 unidade,30,8,82,101
Inhame cozido,1 fatia média,100,28,116,101
"Inhame sem casca, assado",1 colher sopa cheia,35,8,32,101
"Inhame sem casca, cozido, drenado",1 colher sopa cheia,35,7,45,101
"Inhame, raiz sem casca de (picado)",1 colher de sopa cheia,35,8,31,101
Iogurte Gegro frutas amarelas Vigor®,1 unidade,90,17,139,101
Iogurte abacaxi Tirol ®,1 unidade,200,27,175,101
Iogurte Activa aveia Danone ®,1 garrafinha,170,22,110,101
Iogurte Activa morango Danone®,1 garrafinha,150,19,104,101
Iogurte Activa morango Danone ®,1 copo,200,25,138,101
Iogurte Activia ameixa Danone ®,1 copo,150,19,104,101
Iogurte Activia café da manhã Chia e Manga Danone ®,1 unidade,170,23,182,101
Iogurte Activia Café da manhã com Quinoa e frutas vermelhas Danone ®,1pote,170,23,182,101
Iogurte Activia Café da manhã com Amaranto e Mamão Danone ®,1 pote,170,24,180,102
"Iogurte Activia café da manhã com Quinoa, morango e amora Danone ®",1 unidade,170,22,182,102
Iogurte Activia natural Danone ®,1 unidade,170,22,122,102
Iogurte Activia original Danone ®,1 pote,94,12,100,102
Iogurte Activia Polpa Ameixa Danone®,1 pote,100,10,79,102
Iogurte Activia Polpa Aveia Danone®,1 pote,100,10,79,102
Iogurte Activia Polpa Morango Danone ®,1 pote,100,10,77,102
Iogurte Activia zero ameixa Danone ®,1 unidade,170,"6,5",40,102
Iogurte Activia Zero Ameixa Danone ®,1 garrafinha,170,25,131,102
Iogurte camadas Banoffe Frimesa ®,1 pote,165,21,137,102
Iogurte camadas frutas vermelhas Frimesa®,1 unidade,165,23,137,102
Iogurte camadas morango Frimesa ®,1 unidade,165,21,137,102
Iogurte côco Danone ®,1 copo,200,22,128,102
"Iogurte com preparado de fruta- laranja, cenoura e mel Danone ®",1 unidade,180,20,148,102
Iogurte Corpus Sleeve Morango Danone ®,1 garrafinha,170,13,76,102
"Iogurte cremoso - laranja, cenoura e mel Batavo ®",1 unidade,160,24,162,102
Iogurte cremoso ameixa Batavo ®,1 unidade,170,25,166,102
Iogurte cremoso natural integral Batavo ®,1 unidade,200,10,146,102
Iogurte Dan up®,1 unidade,155,27,162,103
Iogurte de frutas (média),1 pote,100,17,90,103
Iogurte de frutas light/diet (média),1 pote,100,7,42,103
Iogurte desnatado açaí e banana Protein + zero Frimesa ®,1 unidade,170,15,128,103
Iogurte desnatado Batavo ®,1 pote,170,9,61,103
Iogurte desnatado Baunilha Protein + zero Frimesa ®,1 pote,170,15,128,103
"Iogurte desnatado com preparado aveia, ameixa e amaranto Nesfit Nestlé ®",1 unidade,170,14,75,103
Iogurte desnatado com preparado de morango zero Tirol ®,1/2 copo,100,7,40,103
Iogurte desnatado com preparado de morango zero Tirol ®,1/2 copo,100,7,40,103
"Iogurte desnatado com preparado frutas vermelhas, aveia, e hibisco Nesfit Nestlé ®",1 unidade,150,12,75,103
Iogurte desnatado Molico triplo zero baunilha Nestlé ®,1 unidade,170,7,45,103
Iogurte desnatado Molico triplo zero morango Nestlé ®,1 unidade,170,7,41,103
Iogurte desnatado Morango Protein + zero Frimesa ®,1 pote,170,15,128,103
Iogurte desnatado Whey banana Verde Campo ®,1 unidade,250,15,126,103
Iogurte desnatado Whey cookies e cream Verde Campo ®,1 unidade,250,15,125,103
Iogurte desnatado Whey doce de leite Verde Campo ®,1 unidade,250,21,180,103
Iogurte doce de leite YoPRO Danone ®,1 garrafinha,250,13,127,103
Iogurte grãos VIV morango Vigor ®,1 copo,100,17,133,104
Iogurte Grego flocos Vigor ®,1 unidade,90,16,148,104
Iogurte Grego morango Batavo ®,1 copo,200,15,127,104
Iogurte Grego Nestlé light®,1 unidade,90,10,73,104
Iogurte Grego Nestlé tradicional ®,1 unidade,90,10,74,104
Iogurte Grego Vigor zero ®,1 unidade,90,5,49,104
Iogurte Grego Vigor ®,1 unidade,90,16,139,104
Iogurte Grego zero morango Vigor ®,1 unidade,90,"6,5",50,104
Iogurte Molico total cálcio líquido Nestlé ®,1 unidade,170,8,73,104
Iogurte Molico total cálcio polpa (média) Nestlé ®,1 unidade,100,6,42,104
Iogurte morango Protein + zero Frimesa ®,1 unidade,170,15,128,104
Iogurte morango Tirol®,1 unidade,200,27,175,104
Iogurte morango YoPRO Danone ®,1/2 copo,100,5,51,104
Iogurte natural c/ mel Nestlé®,1 unidade,170,23,158,104
Iogurte natural desnatado (média),1 copo,170,11,82,104
Iogurte Natural Desnatado 2 Ingredientes Lacfree,1 copo,160,10,70,104
Iogurte natural desnatado Fiore ®,1 unidade,140,6,85,104
Iogurte natural desnatado Nestlé ®,1 unidade,160,8,57,104
Iogurte natural integral (média),1 copo,170,10,126,104
Iogurte Natural Integral 2 Ingredientes Verde Campo ®,1 copo,160,"7,8",121,104
Iogurte natural integral Batavo ®,1 unidade,170,8,102,104
Iogurte natural integral Danone ®,1 unidade,180,10,121,105
Iogurte natural integral Nestlé ®,1 unidade,170,7,117,105
Iogurte Natural Whey Colherável Bicamada Banana com Canela 11g de Proteína Verde Campo,1 pote,140,20,124,105
Iogurte Natural Whey Colherável Tradicional 14g de Proteína Verde Campo,1 pote,140,10,96,105
Iogurte Natural Whey Cookies and Cream 28g de Proteína Verde Campo,1 copo,200,12,101,105
Iogurte Natural Whey Morango 21g de Proteína Verde Campo ®,1 copo,250,21,180,105
"Iogurte parcialmente desnatado cenoura, laranja e mel Nestlé ®",1 unidade,170,24,179,105
Iogurte parcialmente desnatado com calda frutas vermelhas Batavo ®,1 unidade,100,16,97,105
Iogurte parcialmente desnatado com preparado de mel Nestlé ®,1 unidade,170,23,159,105
Iogurte parcilamente desnatado Morango com calda Nestlé ®,1 unidade,150,20,127,105
Iogurte pedaços abacaxi Batavo ®,1 copo,200,31,203,105
Iogurte pedaços morango Batavo ®,1 copo,200,28,192,105
Iogurte pedaços pêssego Batavo ®,1 copo,200,28,192,105
Iogurte Pense Zero Batido Tradicional Batavo ®,1 copo,200,8,56,105
Iogurte Pense zero Grego morango Batavo ®,1 unidade,100,6,60,105
Iogurte Pense Zero Grego Tradicional Batavo ®,1 pote,100,6,61,106
Iogurte Pense zero morango Batavo ®,1 unidade,100,5,34,106
Iogurte Pense zero Pedaços de morango Batavo ®,1 copo,100,6,40,106
Iogurte pêssego Tirol ®,1 unidade,200,27,175,106
Iogurte petit suisse Danoninho morango ®,1 unidade,40,5,41,106
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - framboesa e limão - Vigor ®",1 unidade,170,26,147,106
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - manga e maracujá - Vigor ®",1 unidade,170,26,147,106
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor ®",1 copo,200,34,186,106
"Iogurte VIV 3 grãos - chia, quinoa e amaranto - tradicional - Vigor ®",1 unidade,170,26,147,106
Iogurte VIV mel Vigor ®,1 unidade,150,19,134,106
Iogurte VIV natural Vigor ®,1 unidade,150,"9,2",90,106
Iogurte Yorgus® Kyds Baunilha,1 pouch,100,11,103,106
Iogurte Yorgus ® Kyds Morango,1 pouch,100,11,103,106
Iogurte Yorgus ® Coco,2 pote,130,13,138,106
Iogurte Yorgus ® Completo Morango,1 garrafinha,250,16,136,106
Iogurte Yorgus ® Frutas Silvestres (polpa ao fundo),1 pote,130,13,100,106
Iogurte Yorgus ® Maçã e Canela (polpa ao fundo),1 pote,130,13,100,106
Iogurte Yorgus ® Mel,1 pote,130,10,98,106
Iogurte Yorgus® Morango sem Lactose (polpa ao fundo),1 pote,130,12,92,106
Iogurte Yorgus® Natural 0% Gordura,1 pote,130,3,70,107
Iogurte Yorgus® Natural Sem Lactose,1 pote,130,"2,6",70,107
Iogurte Yorgus®Ultra Morango e Banana,1 garrafinha,300,21,156,107
Iogurte zero desnatado ameixa Frimesa,1 copo,200,10,65,107
Iogurte zero desnatado morango Frimesa,1 unidade,165,10,68,107
Iogurte zero Itambé Fit ®,1 copinho,100,5,34,107
Iogurte zero lactose frutas vermelhas Frimesa®,1 unidade,170,22,130,107
Iogurte Zero Lactose Nestlé®,1 unidade,90,5,58,107
Isca de carne de porco,1 porção média,110,4,267,107
Isca frita de pirarucu,1 fatia média,100,0,269,107
"Jabuti, carne (cozida)",1 unidade,110,0,173,107
Jabuticaba,1 unidade,5,1,3,107
"Jabuticaba, Geléia (Helomar)",1 colher (sopa),20,13,51,107
"Jabuticaba, Geléia (Josepha)",1 colher (sopa),20,9,37,107
"Jabuticaba, Geléia (Linea Diet)",1 colher (sopa),20,7,18,107
"Jabuticaba, Geléia (Queensberry Diet)",1 colher (sopa),20,7,28,107
"Jabuticaba, Geléia (Queensberry)",1 colher (sopa),20,14,58,107
"Jabuticaba, suco (com açúcar)",1 copo americano duplo,240,31,125,107
"Jabuticaba, suco (sem açúcar)",1 copo americano duplo,240,12,49,107
Jaca,1 bago médio,12,3,11,107
"Jaca, carne de (Desfiada)",1 colher (sopa),20,5,18,107
"Jaca, cozida",1 porção média,50,13,55,107
Jacaré,1 pedaço médio,40,0,50,107
Jacked Potato (Outback) ®,1 porção,350,51,309,107
Jambalaya,1 xicara,245,37,384,108
Jambo cru,1 unidade média,40,3,11,108
Jambu cozido,1 colher de sopa cheia,20,1,6,108
Jamelão ou jambolão,1 unidade média,10,1,4,108
Jaraqui cru,1 pedaço médio,100,0,129,108
Jardineira de Legumes,1 colher (servir) cheia,60,5,26,108
Jardineira de Legumes com carne bovina,1 colher (servir) cheia,60,4,46,108
Jardineira de Legumes com carne de soja,1 colher (servir) cheia,60,8,58,108
Jardineira de Legumes com frango,1 colher (servir) cheia,60,3,60,108
Jenipapo,1 unidade pequena,60,15,68,108
Jiló,1 colher (sopa) cheia,60,4,16,108
Jiló com casca (frito),1 colher (sopa) cheia,60,5,156,108
Jiló com casca (refogado),1 colher (sopa) cheia,60,5,25,108
Joelho de porco (Einsbein),1 porção,100,0,227,108
"Juçara, Palmito",1 unidade,100,4,22,108
"Juçara, Palmito",1 colher (sopa) cheia,15,0,3,108
Jurubeba,1 unidade média,10,2,10,108
Kafta na bandeja,1 porção,100,2,173,108
Kani kama cru,1 unidade,20,3,21,108
Kanimaki,1 unidade,15,4,21,108
Kappamaki de pepino,1 unidade,15,6,25,108
Karo®,1 colher de sopa cheia,20,16,64,108
Kasespatzle (macarrão com queijo),1 pegador,130,28,290,108
Kasha (trigo sarraceno torrado),1 xícara de chá,168,33,155,108
Kasha (trigo sarraceno torrado),1 colher de sopa,35,7,32,109
Kebab de frango tradicional,1 unidade média,385,76,581,109
Kebab vegetariano (falafel) tradicional,1 unidade média,380,77,475,109
Kefir com leite de vaca,1 copo americano duplo,240,6,113,109
Ketchup de tomate,1 colher de sopa cheia,20,6,25,109
Kinder Bueno®,1 unidade,43,21,245,109
Kinder ovo®,1 unidade,20,10,110,109
Kinkan,1 unidade,10,2,7,109
"Kitkat®, chocolate",1 unidade,42,24,220,109
Kiwi,1unidade média,94,11,48,109
Lagarto bovino,1 pedaço médio,35,0,77,109
Lagosta,1 porção,100,0,83,109
"Laka®, chocolate",4 quadradinhos,25,15,135,109
Laranja baía,1 unidade media,180,20,82,109
"Laranja diet, geleia de (média)",1 colher de sopa (cheia),20,7,27,109
Laranja lima,1 unidade media,180,20,82,109
"Laranja, geleia de (média)",1 colher de sopa (cheia),20,12,49,109
Lasanha (média sabores),1 escumadeira,170,23,224,109
Lasanha à bolonhesa,1 escumadeira,170,28,312,109
Lasanha de berinjela a bolonhesa,1 colher de sopa cheia,80,4,79,109
Legumes refogados,1 colher de servir cheia,60,3,56,109
"Legumes, seleta",1 colher de sopa,25,3,14,109
Leite achocolatado,1 copo médio,240,34,194,109
Leite condensado,1 colher de sopa,15,9,47,109
Leite condensado desnatado,1 colher de sopa,15,11,40,109
Leite de amêndoa,1 copo,200,4,66,109
Leite de arroz,1 copo,200,12,63,110
Leite de aveia,1 copo,200,15,87,110
Leite de cabra,1 copo duplo cheio,240,9,161,110
Leite de castanha,1 copo,200,3,65,110
Leite de coco industrializado,1 colher de sopa,20,0,26,110
Leite de coco industrializado light,1 colher de sopa,20,0,17,110
Leite de soja,1 copo,200,8,67,110
Leite de soja zero,1 copo,200,3,56,110
Leite de vaca desnatado,1 copo duplo cheio,240,11,78,110
Leite de vaca desnatado em pó,1 colher (sopa) cheia,10,5,36,110
Leite de vaca integral em pó,1 colher (sopa) cheia,16,6,80,110
Leite de vaca integral pasteurizado,1 copo duplo cheio,240,11,154,110
Leite de vaca semi- desnatado,1 copo médio,240,11,97,110
Leite de vaca semi- desnatado sem lactose,1 copo médio,240,11,98,110
Leite fermendato,1 unidade,80,13,56,110
Leite humano maduro média,1 copo americano pequeno,165,10,112,110
Leite materno,1/2 copo,100,7,67,110
Lentilha cozida,1 colher sopa (cheia),18,3,17,110
Lichia,1 unidade,10,2,6,110
Licor,1 cálice,20,7,62,110
Licor 43,1 dose,50,11,150,110
Licor Amarula,1 dose,50,18,180,110
Licor Frangélico,1 dose,50,18,172,110
Licor Lemoncello,1 dose,50,22,171,110
Limão,1 colher de sopa cheia,12,1,4,110
"Limão, geléia de",1 colher de sopa cheia,20,5,22,111
Limonada s/ açúcar,1 copo,240,2,7,111
Língua de boi cozida,1 fatia média,30,0,94,111
